TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Intero,psi,More,1.6706954999826849,73,0.9170375000685453,-0.5,99.5,99.0,False,True,True,0,-23.24542254487094,12.550553475165675,1726063210.877668,1726063216.4075172,1726063218.6233544,1726063218.6507618,1726063220.439188,1726063220.4908235
psi,Less,Intero,psi,Less,1.687677799956873,29,1.08144410001114,-23.5,93.0,69.5,True,True,True,1,-10.897009912607174,12.875481325119662,1726063220.902839,1726063226.4356525,1726063228.6730766,1726063228.7024872,1726063230.6716542,1726063230.7338564
psi,Less,Intero,psi,More,2.4399127000942826,72,1.4800619999878109,-11.5,95.5,84.0,False,True,True,2,-19.828002166895676,12.706016683080888,1726063231.0715513,1726063236.6171482,1726063239.605578,1726063239.6465762,1726063242.0048857,1726063242.0844417
psi,Less,Intero,psi,Less,2.351453199982643,71,2.4568276000209153,-19.5,102.5,83.0,True,True,True,3,-14.135329661305361,11.927328809437595,1726063242.4206703,1726063247.9552689,1726063250.836799,1726063250.8745782,1726063254.2032952,1726063254.324581
psi,Less,Intero,psi,More,2.1830744999460876,76,1.681384399998933,-14.5,96.5,82.0,False,True,True,4,-18.472791721015106,11.511712070266173,1726063254.6625698,1726063260.1977613,1726063262.920146,1726063262.9594476,1726063265.5196085,1726063265.6212294
psi,Less,Intero,psi,Less,2.021368799963966,74,2.025302399881184,-21.5,96.5,75.0,True,True,True,5,-15.936191874200999,9.943782466227733,1726063265.9630575,1726063271.5043766,1726063274.069989,1726063274.114437,1726063277.0370145,1726063277.160779
psi,Less,Intero,psi,More,2.0583678998518735,71,1.3907156998757273,-13.5,96.5,83.0,False,True,True,6,-17.841589638724777,8.498701249083869,1726063277.502108,1726063283.0380235,1726063285.6355255,1726063285.6849837,1726063287.936317,1726063288.0390463
psi,Less,Intero,psi,More,2.3177477000281215,74,1.1421553001273423,-17.5,93.5,76.0,False,True,True,7,-19.977145528572496,9.038367786804734,1726063288.379902,1726063293.9206893,1726063296.7701302,1726063296.8162298,1726063298.8343055,1726063298.9300904
psi,Less,Intero,psi,Less,2.672580000013113,56,1.8006273000501096,-22.5,94.5,72.0,True,True,True,8,-18.49481059987814,7.224073864528694,1726063299.2732108,1726063304.8147998,1726063308.0349305,1726063308.085966,1726063310.751105,1726063310.8858032
psi,Less,Intero,psi,More,3.155720599927008,66,1.630976099986583,-21.5,98.0,76.5,False,True,True,9,-20.89803839299585,11.426057076764698,1726063311.2305567,1726063316.7743855,1726063320.4660823,1726063320.5199232,1726063323.0499341,1726063323.1838906
psi,Less,Intero,psi,More,3.4678575000725687,71,2.288664299994707,-27.5,95.5,68.0,False,True,True,10,-24.41706648885379,15.653682575005487,1726063323.5290143,1726063329.0720448,1726063333.0661557,1726063333.1217985,1726063336.2844481,1726063336.459467
psi,Less,Intero,psi,More,2.216531799873337,74,2.533700899919495,-33.5,99.0,65.5,False,True,True,11,-28.16956595860782,18.08569216765559,1726063336.8055885,1726063342.356033,1726063345.0987172,1726063345.1462698,1726063348.5334373,1726063348.7356951
psi,Less,Intero,psi,Less,2.5668595999013633,68,1.132988299941644,-38.5,91.0,52.5,True,True,True,12,-26.737629751890747,17.50575734598318,1726063349.0802765,1726063354.6277108,1726063357.731829,1726063357.7923837,1726063359.798881,1726063359.922566
psi,Less,Intero,psi,Less,3.133796199923381,70,2.036912699928507,-37.5,95.0,57.5,True,True,True,13,-25.521559690699817,16.937861566774213,1726063360.2701883,1726063365.8182466,1726063369.4812427,1726063369.5317478,1726063372.4310122,1726063372.6202435
psi,Less,Intero,psi,More,2.7833381998352706,72,1.8519838000647724,-37.5,97.5,60.0,False,True,True,14,-28.570153630261355,18.625288023439442,1726063372.9639628,1726063378.5150537,1726063381.8302903,1726063381.8830075,1726063384.6132312,1726063384.8097224
psi,Less,Intero,psi,Less,2.970168299973011,47,1.873434100067243,-40.5,95.0,54.5,True,True,True,15,-27.521953847526248,18.225922772459647,1726063385.164153,1726063390.7203455,1726063394.230051,1726063394.2950513,1726063400.880415,1726063401.3624086
psi,Less,Intero,psi,Less,4.5730693999212235,65,2.1265189999248832,-40.5,96.0,55.5,True,True,True,16,-26.63458075525859,17.83826902376393,1726063401.7114048,1726063407.2701674,1726063412.2950711,1726063412.3518999,1726063415.3970733,1726063415.6309865
